wellbore_id,well_id,source_wellbore_id,wellbore_name,status,source
86cbaf34-e2c8-4279-bdcd-8dd3743d2088,45fbff1a-7f37-4f35-bdd9-04d90de1e204,12032016500,1 ST00BP00,COM,BSEE
895ed6cf-ca8e-428c-9db0-aaea450e360c,d48d2e25-fec3-4d60-baf1-b5e0992d0df9,12032027100,1 ST00BP00,COM,BSEE
3c48c87f-50de-4caf-b8c3-b888236afc3b,1ac64849-f390-4e36-bcc0-556bf90b7da1,12032029300,2 ST00BP00,COM,BSEE
30277e30-aaaf-444d-a817-f21c4737141e,fdcdbad8-52c6-4c61-adb3-b0a98813430b,12032030900,3 ST00BP00,COM,BSEE
122ab217-05f0-4932-9629-ad9775b95915,ecbe21a8-3a73-4fc0-bedf-f878def20c57,1.7075E+11,2 ST00BP00,PA,BSEE
d91b841f-8ef6-4812-b876-a759f0bdaffe,dbf15418-2d57-45e0-88a1-daf44fa3d0cb,1.7075E+11, A002 ST00BP00,COM,BSEE
780147cc-1af2-4c67-8d8c-cbbf4f131740,cdc4370e-fe3e-4dfa-8a31-193e2a352e67,1.7075E+11,9 ST00BP00,PA,BSEE
3323f137-2260-4fc7-bce9-caddf62daaa9,65e6cfdc-3328-43bf-a09e-0f111d234ca0,1.7075E+11,3 ST00BP00,PA,BSEE
f321c1e0-0f09-4561-b3b9-34a80f344e4c,8422d252-34d3-4a6c-9b2a-c0ba6cada781,1.7075E+11,1 ST00BP00,PA,BSEE
7a6c82e8-9e8b-4a59-83d0-4bceb68989ca,b1e30a83-5b04-467a-b896-77a2c4dde0af,1.7075E+11,11 ST00BP00,PA,BSEE
4cbce559-6a5a-48ae-aa64-7bddf1a0d99b,5dd6dca6-0d05-442e-a762-0efc03231c6c,1.7075E+11,12 ST00BP00,PA,BSEE
12a9667c-8744-4a9f-a8b8-c6bca6c8ffde,13ffa902-e31d-492a-9d2b-683c2956ae62,1.7075E+11,14 ST00BP00,PA,BSEE
c7f206e9-6b49-459b-acc3-5d0737133218,5e066d14-4ea0-4d85-9927-34214fa55b86,1.7075E+11,15 ST00BP00,PA,BSEE
678a37dc-5566-4480-9f07-b00feeaf2a3a,f2362b77-8277-4bf2-beb1-5063a1575634,1.70751E+11,8 ST00BP00,PA,BSEE
2ae9838c-93f2-43d6-8f77-f4c4c451417d,dbdbc014-7946-443c-b3b5-e7436c6308d7,1.77E+11,2 ST00BP00,COM,BSEE
07e62f2a-034f-446c-a45d-35426ef66831,ca5398de-71e6-4daf-887f-6d4e87963012,1.77E+11,3 ST00BP00,PA,BSEE
48c97865-e7a7-4ec1-9ed4-6a31fafcbfb6,5c37a92b-d955-4d5c-9ef9-b8c6d16c6b68,1.77E+11,4 ST00BP00,PA,BSEE
18387218-55fe-4f40-a44c-b7090612672b,804b7cfa-b87b-44e4-a84c-8cd0fbb8fe66,1.77E+11,5 ST00BP00,PA,BSEE
62f2a7d7-5d71-438f-926c-605d36655625,e35ae71f-887c-471a-becf-96809e91c088,1.77E+11,6 ST00BP00,PA,BSEE
ad231800-9ef6-45b9-af8b-d3f7f3485ac6,44b29900-dac6-4bd3-8240-1461dead40a9,1.77E+11,7 ST00BP00,PA,BSEE
a61ef999-3c38-4124-92f3-93f0894140c6,9d14f146-b2a1-47ae-9d5f-e08554868f1b,1.77E+11,8 ST00BP00,PA,BSEE
ec6f5c1a-9353-4fad-9526-1e6287f20492,0b95412b-811c-474a-8335-59172cda12a0,1.77E+11,9 ST00BP00,PA,BSEE
a437d5d9-ce80-4453-9812-6155bae09ff8,26847b59-91ba-413a-9426-cf63ce6cb9e6,1.77E+11,1 ST00BP00,PA,BSEE
bfb644d0-8925-4cdc-ad2b-3f4c598faeb9,9a4f60f5-8856-4630-b850-23242e905993,1.77E+11,2 ST00BP00,PA,BSEE
01e69947-1969-4599-90bc-5456e35e4662,d8cfb8d0-c42f-48d7-9e78-454fb5057602,1.77E+11,3 ST00BP00,PA,BSEE
