wellbore_id,checkpoint_depth,target_25m,event_type,synthetic_data_used,feat_depth,feat_norm_depth,feat_similar_well_count,feat_best_similarity,feat_mean_similarity,feat_weighted_any_evidence,feat_weighted_mud_loss_evidence,feat_weighted_kick_evidence,feat_weighted_stuck_pipe_evidence,feat_high_confidence_event_count,feat_closest_event_distance
15/9-19 A,50.0,0,NONE,False,50.0,0.0121,23,78.25,72.33,3.7976,0.6287,0.0,3.1689,6,0.0
15/9-19 A,75.0,0,NONE,False,75.0,0.0182,23,78.25,72.33,3.7952,1.8861,0.0,1.9091,6,5.0
15/9-19 A,100.0,0,NONE,False,100.0,0.0242,23,78.25,72.33,3.1541,3.1541,0.0,0.0,5,2.0
15/9-19 A,125.0,0,NONE,False,125.0,0.0303,23,78.25,72.33,5.6937,5.6937,0.0,0.0,9,0.6
15/9-19 A,150.0,0,NONE,False,150.0,0.0363,23,78.25,72.33,5.6855,5.6855,0.0,0.0,9,0.1
15/9-19 A,175.0,0,NONE,False,175.0,0.0424,23,78.25,72.33,2.4949,1.8599,0.0,0.635,4,3.0
15/9-19 A,200.0,0,NONE,False,200.0,0.0484,23,78.25,72.33,2.4925,1.8575,0.0,0.635,4,18.0
15/9-19 A,225.0,0,NONE,False,225.0,0.0545,23,78.25,72.33,4.4096,4.4096,0.0,0.0,7,7.0
15/9-19 A,250.0,0,NONE,False,250.0,0.0605,23,78.25,72.33,4.4222,4.4222,0.0,0.0,7,1.0
15/9-19 A,275.0,0,NONE,False,275.0,0.0666,23,78.25,72.33,3.3535,3.3535,0.0,0.0,5,11.6
15/9-19 A,300.0,0,NONE,False,300.0,0.0726,23,78.25,72.33,2.7134,2.0835,0.6299,0.0,4,7.0
15/9-19 A,325.0,0,NONE,False,325.0,0.0787,23,78.25,72.33,0.6299,0.0,0.6299,0.0,1,15.0
15/9-19 A,350.0,0,NONE,False,350.0,0.0847,23,78.25,72.33,0.0,0.0,0.0,0.0,0,40.0
15/9-19 A,375.0,0,NONE,False,375.0,0.0908,23,78.25,72.33,0.0,0.0,0.0,0.0,0,65.0
15/9-19 A,400.0,0,NONE,False,400.0,0.0968,23,78.25,72.33,0.0,0.0,0.0,0.0,0,90.0
15/9-19 A,425.0,0,NONE,False,425.0,0.1029,23,78.25,72.33,0.0,0.0,0.0,0.0,0,115.0
15/9-19 A,450.0,0,NONE,False,450.0,0.1089,23,78.25,72.33,0.0,0.0,0.0,0.0,0,128.0
15/9-19 A,475.0,0,NONE,False,475.0,0.115,23,78.25,72.33,0.0,0.0,0.0,0.0,0,103.0
15/9-19 A,500.0,0,NONE,False,500.0,0.121,23,78.25,72.33,0.0,0.0,0.0,0.0,0,78.0
15/9-19 A,525.0,0,NONE,False,525.0,0.1271,23,78.25,72.33,0.0,0.0,0.0,0.0,0,53.0
15/9-19 A,550.0,0,NONE,False,550.0,0.1331,23,78.25,72.33,0.0,0.0,0.0,0.0,0,28.0
15/9-19 A,575.0,0,NONE,False,575.0,0.1392,23,78.25,72.33,0.635,0.635,0.0,0.0,1,3.0
15/9-19 A,600.0,0,NONE,False,600.0,0.1452,23,78.25,72.33,1.2649,1.2649,0.0,0.0,2,10.0
15/9-19 A,625.0,0,NONE,False,625.0,0.1513,23,78.25,72.33,1.229,0.6299,0.0,0.5991,2,12.0
