event_id,well_id,wellbore_id,timestamp_start,timestamp_end,depth_start,depth_end,event_type,description,source,source_file,extraction_method,confidence
5ef2da6e-be53-4779-9456-00e1c7401366,NO,NO 15/9-19 A,name 1997-07-26T03:00:00+02:00,name 1997-07-26T04:00:00+02:00,1110,1110,EQUIPMENT_FAILURE,BURST HYDRAULIC HOSE ON UPPER RACKING ARM - REPAIRED SAME.,VOLVE_DDR,15_9_19_A_1997_07_27.xml,XML_NODE_KEYWORD,MEDIUM
71c4e23a-05dc-4a46-a120-c54d6468971b,NO,NO 15/9-19 A,name 1997-07-26T17:30:00+02:00,name 1997-07-26T18:30:00+02:00,2213,2213,STUCK_PIPE,"ORIENTED BIT/MOTOR & SLACKED-OFF THROUGH WINDOW.REAMED F/2208-2212M. STARTED DRILLING-SPP INCREASED 35BAR&TDS STALLED Ø16300NM.FREED STUCK STRING USING 32 MT O/PULL-TORQUE STILL TRAPPED IN STRING.WHILE PULLING PAST 2207M W/BIT,SPP INCREASED AGAIN.FREED BIT PAST 2207M USING 55 MT O/PULL.THEN ABLE TO RELEASE TORQUE IN STRING ONCE ABOVE 2202M.",VOLVE_DDR,15_9_19_A_1997_07_27.xml,XML_NODE_KEYWORD,HIGH
16500c8b-1816-4b92-9e48-c2886ff8204b,NO,NO 15/9-19 A,name 1997-07-29T00:00:00+02:00,name 1997-07-29T01:00:00+02:00,2202,2202,ABNORMAL_OPERATION,FINISHED DRILLING TO 2202 M - TOTAL OF 19 M OF FORMATION DRILLED BEYOND WINDOW'S BOTTOM. PU & SO THROUGH WINDOW 5 TIMES - NO PROBLEMS.,VOLVE_DDR,15_9_19_A_1997_07_30.xml,XML_NODE_KEYWORD,LOW
4159944d-63d5-43e3-b869-bbb4fbac1596,NO,NO 15/9-19 A,name 1997-07-29T11:30:00+02:00,name 1997-07-29T12:30:00+02:00,430,430,EQUIPMENT_FAILURE,ELECTRICAL PROBLEM WITH TOP DRIVE SYSTEM; REPAIRED SAME.,VOLVE_DDR,15_9_19_A_1997_07_30.xml,XML_NODE_KEYWORD,MEDIUM
2b5a4e03-8fe2-4c7e-b12e-6512870ec9d6,NO,NO 15/9-19 A,name 1997-07-29T17:00:00+02:00,name 1997-07-29T17:30:00+02:00,2190,2190,ABNORMAL_OPERATION,RIH SLOWLY-NO ROTATION OR CIRCULATION-FROM 2161 - 2190 M. WINDOW IN CASING FROM 2178 - 2183 M. MADE CHECK TRIP TO 2175 M; NO PROBLEMS PASSING THROUGH WINDOW.,VOLVE_DDR,15_9_19_A_1997_07_30.xml,XML_NODE_KEYWORD,LOW
a3001f2f-ce45-4b4e-bddb-05c1d1b36ae8,NO,NO 15/9-19 A,name 1997-07-31T00:00:00+02:00,name 1997-07-31T06:00:00+02:00,2768,2768,ABNORMAL_OPERATION,"DRILLED/ORIENTED 8 1/2"" HOLE FROM 2711 - 2768 M. HAD PROBLEMS TURNING WELLPATH TO THE RIGHT.",VOLVE_DDR,15_9_19_A_1997_08_01.xml,XML_NODE_KEYWORD,LOW
d37b8574-6f9c-478e-9359-e0edaccd5402,NO,NO 15/9-19 A,name 1997-07-31T07:00:00+02:00,name 1997-07-31T15:30:00+02:00,0,0,ABNORMAL_OPERATION,"POOH FOR BHA CHANGE DUE TO DIRECTIONAL PROBLEM - NOT ENOUGH TURN TO RIGHT IN AZIMUTH. NOTE-NO PROBLEM IN TOH THROUGH 9 5/8"" CASING WINDOW.      UNABLE TO DOWNLOAD MEMORY FROM MWD AFTER TRYING FOR 1 HOUR.",VOLVE_DDR,15_9_19_A_1997_08_01.xml,XML_NODE_KEYWORD,LOW
9d370b45-fbab-4749-aca2-237805b5707f,NO,NO 15/9-19 A,name 1997-08-01T13:30:00+02:00,name 1997-08-01T15:00:00+02:00,2190,2190,ABNORMAL_OPERATION,FLOW CHECKED & PUMPED SLUG. POOH TO 2190 M WITH NO PROBLEMS.,VOLVE_DDR,15_9_19_A_1997_08_02.xml,XML_NODE_KEYWORD,LOW
47f93764-ebca-446f-acef-9063a3029cbf,NO,NO 15/9-19 A,name 1997-08-01T15:00:00+02:00,name 1997-08-01T16:00:00+02:00,2190,2190,STUCK_PIPE,CIRCULATED W/2500LPM & ORIENTED TOOLFACE PRIOR TO PULLING THROUGH CSG. WINDOW. HOLE PACKED-OFF & STRING TORQUED-UP & LOST CIRC-STRING STUCK 2 MIN. WORKED STRING FREE BY GOING DOWNWARDS;MAX WEIGHT SLACKED-OFF=40 MT. ESTABLISHED CIRCULATION AT 600 LPM.,VOLVE_DDR,15_9_19_A_1997_08_02.xml,XML_NODE_KEYWORD,HIGH
38d23537-83df-4bb5-b0ec-2dae5ac7d4f4,NO,NO 15/9-19 A,name 1997-08-01T16:00:00+02:00,name 1997-08-01T19:30:00+02:00,2199,2199,MUD_LOSS,"WORKED STRING DOWN TO 2199 M BIT DEPTH - 16 M BELOW WINDOW'S BOTTOM. HOLE PACKED-OFF;LOST CIRCULATION SEVERAL TIMES. ATTEMPTED TO ESTABLISH CIRCULATION - IN STEPS - AT DIFFERENT FLOW RATES WHILE ROTATING AT 80- 120 RPM / PROBLEMS =PACKING-OFF,LOST CIRCULATION, TORQUING-UP OF DRILLSTRING. TORQUE WOULD INCREASE & THEN RETURNS WOULD BE LOST.",VOLVE_DDR,15_9_19_A_1997_08_02.xml,XML_NODE_KEYWORD,HIGH
